,state_name,state_name_normalized,city_name,city_name_normalized,place_type,population:normalized,wikidata,centroid
29408,Texas,texas,Crowley,crowley,town,14969,Q970371,POINT (-97.3585533 32.5783528)
29411,Texas,texas,Kerrville,kerrville,town,24278,Q525007,POINT (-99.1399464 30.048469)
29412,Texas,texas,Gatesville,gatesville,town,15489,Q980595,POINT (-97.743911 31.4351645)
29420,Texas,texas,San Marcos,san_marcos,city,67553,Q982353,POINT (-97.9405828 29.8826436)
29421,Texas,texas,The Woodlands,the_woodlands,city,93847,Q982421,POINT (-95.504686 30.1734194)
29428,Texas,texas,Plano,plano,city,288253,Q51689,POINT (-96.6925096 33.0136764)
29429,Texas,texas,Denton,denton,city,109561,Q128306,POINT (-97.1330431 33.215038)
29430,Texas,texas,Austin,austin,city,974447,Q16559,POINT (-97.7436995 30.2711286)
29434,Texas,texas,West Odessa,west_odessa,town,33340,Q976770,POINT (-102.478284 31.8400819)
29435,Texas,texas,Round Rock,round_rock,city,119468,Q128334,POINT (-97.6788056 30.5085915)
29436,Texas,texas,Seabrook,seabrook,town,11952,Q979468,POINT (-95.019723 29.5633199)
29444,Texas,texas,Atascocita,atascocita,city,88174,Q982138,POINT (-95.1620137 29.9990074)
29455,Texas,texas,Irving,irving,city,256684,Q51690,POINT (-96.9442177 32.8295183)
29461,Texas,texas,Cedar Park,cedar_park,city,77595,Q980040,POINT (-97.827833 30.5217116)
29463,Texas,texas,Leander,leander,city,59202,Q982054,POINT (-97.8567339 30.5736134)
29477,Texas,texas,Manor,manor,town,13652,Q973072,POINT (-97.555905 30.3420882)
29480,Texas,texas,Roma,roma,town,11561,Q93022,POINT (-99.0144578 26.4094075)
29486,Texas,texas,Heartland,heartland,town,10343,Q14710488,POINT (-96.4512417 32.6894727)
29487,Texas,texas,Kyle,kyle,town,28016,Q277669,POINT (-97.8772103 29.9892928)
29489,Texas,texas,Laredo,laredo,city,255205,Q16868,POINT (-99.5069834 27.5079211)
29493,Texas,texas,Amarillo,amarillo,city,200393,Q51691,POINT (-101.8371192 35.20729)
29497,Texas,texas,Red Oak,red_oak,town,14222,Q979142,POINT (-96.8066615 32.5143898)
29506,Texas,texas,Piedras Negras,piedras_negras,city,173959,,POINT (-100.54270434975992 28.69080392374716)
29529,Utah,utah,Vernal,vernal,town,10241,Q482828,POINT (-109.528474 40.4556825)
29531,Utah,utah,South Jordan,south_jordan,city,77487,Q52467,POINT (-111.9367107 40.5584882)
29533,Utah,utah,Syracuse,syracuse,town,32141,Q482405,POINT (-112.0638903 41.0895938)
29537,Utah,utah,Draper,draper,city,51017,Q482888,POINT (-111.8627989 40.5247777)
29538,Utah,utah,Washington,washington,town,15217,Q482386,POINT (-113.5082867 37.1305373)
29542,Utah,utah,Saratoga Springs,saratoga_springs,city,58548,Q482618,POINT (-111.9130188 40.3862792)
29545,Utah,utah,Salt Lake City,salt_lake_city,city,200133,Q23337,POINT (-111.886797 40.7596198)
29551,Utah,utah,Ogden,ogden,city,87321,Q52471,POINT (-111.9738429 41.2230048)
29554,Utah,utah,Cottonwood Heights,cottonwood_heights,town,33617,Q482523,POINT (-111.8256464 40.613474)
29563,Utah,utah,Taylorsville,taylorsville,city,58048,Q52475,POINT (-111.9388027 40.6676347)
29569,Utah,utah,Millcreek,millcreek,city,63380,Q1829357,POINT (-111.855583 40.6992918)
29571,Utah,utah,Layton,layton,city,81773,Q52474,POINT (-111.9741925 41.0751048)
29582,Utah,utah,St. George,st._george,city,95342,Q52472,POINT (-113.5832063 37.1098772)
29583,Utah,utah,Centerville,centerville,town,16884,Q483235,POINT (-111.8721601 40.9180005)
29589,Utah,utah,Payson,payson,town,16748,Q482941,POINT (-111.7321518 40.0443989)
29595,Utah,utah,Holladay,holladay,town,31965,Q482520,POINT (-111.8250278 40.6710765)
29596,Utah,utah,Santaquin,santaquin,town,13725,Q374692,POINT (-111.7852106 39.9755101)
29597,Utah,utah,Brigham City,brigham_city,town,19650,Q482976,POINT (-112.0154991 41.5110434)
29602,Utah,utah,Mapleton,mapleton,town,11365,Q482504,POINT (-111.578528 40.1302338)
29608,Utah,utah,Clinton,clinton,town,23386,Q483185,POINT (-112.0548389 41.1471616)
29616,Utah,utah,Heber City,heber_city,town,16856,Q482805,POINT (-111.4132963 40.506463)
29621,Utah,utah,Eagle Mountain,eagle_mountain,city,61491,Q483165,POINT (-112.0119825 40.3093488)
29632,Utah,utah,Riverton,riverton,town,45285,Q129965,POINT (-111.9393701 40.5179761)
29635,Utah,utah,Cedar City,cedar_city,town,28857,Q487212,POINT (-113.061827 37.6774238)
29636,Utah,utah,Orem,orem,city,98129,Q52468,POINT (-111.6944313 40.2981599)
29644,Utah,utah,Pleasant View,pleasant_view,town,11083,Q483030,POINT (-111.988791 41.3199212)
29648,Utah,utah,West Valley City,west_valley_city,city,140230,Q52465,POINT (-111.9866954 40.6967891)
29662,Utah,utah,Midvale,midvale,town,36028,Q482518,POINT (-111.9106607 40.6149174)
29664,Utah,utah,Roy,roy,town,39306,Q130167,POINT (-112.0273739 41.1715361)
29666,Utah,utah,American Fork,american_fork,town,33337,Q464598,POINT (-111.7959146 40.3768064)
29667,Utah,utah,South Ogden,south_ogden,town,17488,Q482606,POINT (-111.9678627 41.1912782)
29675,Utah,utah,Clearfield,clearfield,town,31909,Q483715,POINT (-112.0244841 41.1135837)
29681,Utah,utah,Herriman,herriman,city,55144,Q129935,POINT (-112.0329086 40.5139784)
29701,Utah,utah,Alpine,alpine,town,10251,Q115481,POINT (-111.7779596 40.453253)
29704,Utah,utah,North Salt Lake,north_salt_lake,town,21907,Q482763,POINT (-111.906882 40.8485564)
29705,Utah,utah,Provo,provo,city,115162,Q23443,POINT (-111.6587085 40.2337289)
29714,Utah,utah,Kearns,kearns,town,36723,Q3306750,POINT (-112.004618 40.6528603)
29718,Utah,utah,Grantsville,grantsville,town,12617,Q483114,POINT (-112.463531 40.6000817)
29726,Utah,utah,Bluffdale,bluffdale,town,17014,Q482962,POINT (-111.939284 40.4898176)
29728,Utah,utah,West Point,west_point,town,10963,Q482675,POINT (-112.087185 41.1184964)
29730,Utah,utah,Woods Cross,woods_cross,town,11410,Q482876,POINT (-111.9017264 40.8745737)
29733,Utah,utah,South Salt Lake,south_salt_lake,town,26777,Q482869,POINT (-111.88827 40.7074741)
29735,Utah,utah,Pleasant Grove,pleasant_grove,town,37726,Q482842,POINT (-111.7386884 40.3640349)
29736,Utah,utah,Highland,highland,town,19348,Q483297,POINT (-111.7891709 40.427176)
29737,Utah,utah,Bountiful,bountiful,town,45762,Q483219,POINT (-111.8804817 40.8894611)
29740,Utah,utah,Springville,springville,town,35268,Q482879,POINT (-111.6114726 40.1652447)
29742,Utah,utah,West Jordan,west_jordan,city,116961,Q52466,POINT (-111.9395211 40.6061337)
29752,Utah,utah,Farmington,farmington,town,24531,Q483000,POINT (-111.8874688 40.9804423)
29754,Utah,utah,Logan,logan,city,54680,Q482657,POINT (-111.834914 41.7313063)
29758,Utah,utah,Kaysville,kaysville,town,32945,Q482516,POINT (-111.9383931 41.0349847)
29759,Utah,utah,Tooele,tooele,town,37104,Q482937,POINT (-112.29828 40.5307776)
29769,Utah,utah,Spanish Fork,spanish_fork,town,42602,Q482552,POINT (-111.6547774 40.1150133)
29795,Utah,utah,Lehi,lehi,city,86284,Q1010595,POINT (-111.8486019 40.3881114)
29796,Utah,utah,North Ogden,north_ogden,town,20916,Q483349,POINT (-111.9650256 41.3048815)
29797,Utah,utah,Hurricane,hurricane,town,13748,Q482646,POINT (-113.289888 37.1750272)
29799,Utah,utah,Murray,murray,city,50637,Q482822,POINT (-111.888417 40.6667841)
29800,Utah,utah,Sandy,sandy,city,96904,Q52470,POINT (-111.8953815 40.5710454)
29801,Utah,utah,Magna,magna,town,29251,Q255187,POINT (-112.081648 40.7031629)
29808,Utah,utah,Vineyard,vineyard,town,14535,Q482435,POINT (-111.747841 40.2983097)
29945,Vermont,vermont,Williston,williston,town,10103,Q1819030,POINT (-73.0682659 44.4376099)
29963,Vermont,vermont,Burlington,burlington,town,44743,Q31058,POINT (-73.212906 44.4761601)
29990,Vermont,vermont,Rutland,rutland,town,15807,Q25893,POINT (-72.9724768 43.6084792)
29992,Vermont,vermont,South Burlington,south_burlington,town,20292,Q26065,POINT (-73.176273 44.4642957)
30025,Vermont,vermont,Essex Junction,essex_junction,town,10590,Q648356,POINT (-73.11136 44.4906817)
30055,Virginia,virginia,Harrisonburg,harrisonburg,city,54215,Q511935,POINT (-78.8688833 38.4493315)
30072,Virginia,virginia,Cave Spring,cave_spring,town,24922,Q1374740,POINT (-80.0085028 37.2301322)
30079,Virginia,virginia,Christiansburg,christiansburg,town,22259,Q1376400,POINT (-80.4089389 37.1298517)
30096,Virginia,virginia,Blacksburg,blacksburg,town,44826,Q285816,POINT (-80.4136767 37.2296566)
30137,Virginia,virginia,Radford,radford,town,16070,Q586070,POINT (-80.5749169 37.1343148)
30146,Virginia,virginia,Salem,salem,town,25346,Q502230,POINT (-80.0556773 37.293198)
30155,Virginia,virginia,Independent Hill,independent_hill,town,10165,Q3473739,POINT (-77.4378446 38.6357629)
30176,Virginia,virginia,Staunton,staunton,town,25750,Q502250,POINT (-79.072557 38.1495947)
30188,Virginia,virginia,Laurel,laurel,town,17769,Q1376144,POINT (-77.5080211 37.6329727)
30195,Virginia,virginia,Linton Hall,linton_hall,town,41754,Q1374440,POINT (-77.5710356 38.7533038)
30203,Virginia,virginia,Herndon,herndon,town,24655,Q1373962,POINT (-77.3859479 38.9695316)
30205,Virginia,virginia,Woodbridge,woodbridge,town,44668,Q1375929,POINT (-77.2530729 38.6626561)
30213,Virginia,virginia,Centreville,centreville,city,73518,Q1374678,POINT (-77.4315911 38.8387653)
30215,Virginia,virginia,Lake Monticello,lake_monticello,town,10126,Q961154,POINT (-78.3347288 37.9231965)
30216,Virginia,virginia,Madison Heights,madison_heights,town,10893,Q1377155,POINT (-79.1237392 37.4317056)
30218,Virginia,virginia,Hampton,hampton,city,137148,Q342043,POINT (-76.3442846 37.0264414)
30220,Virginia,virginia,Glen Allen,glen_allen,town,14774,Q1374751,POINT (-77.506374 37.6659781)
30226,Virginia,virginia,Lorton,lorton,town,18610,Q1375895,POINT (-77.220343 38.7043397)
30228,Virginia,virginia,Woodlawn,woodlawn,town,20804,Q8032979,POINT (-77.1148869 38.7326785)
30231,Virginia,virginia,Waynesboro,waynesboro,town,23498,Q501779,POINT (-78.8893999 38.0686668)
30236,Virginia,virginia,Martinsville,martinsville,town,13821,Q502240,POINT (-79.8725386 36.6915262)
30237,Virginia,virginia,Colonial Heights,colonial_heights,town,17411,Q501789,POINT (-77.4112016 37.2555718)
30239,Virginia,virginia,Fairfax,fairfax,town,24146,Q501785,POINT (-77.3063733 38.8462236)
30242,Virginia,virginia,South Riding,south_riding,town,33877,Q661736,POINT (-77.5108595 38.9161169)
30244,Virginia,virginia,Lakeside,lakeside,town,12203,Q1376974,POINT (-77.4718085 37.6164463)
30246,Virginia,virginia,Huntington,huntington,town,11267,Q1375920,POINT (-77.0705705 38.7940105)
30247,Virginia,virginia,Highland Springs,highland_springs,town,15137,Q1374652,POINT (-77.3278441 37.5460121)
30262,Virginia,virginia,Roanoke,roanoke,city,99837,Q501796,POINT (-79.9414313 37.270973)
30278,Virginia,virginia,West Springfield,west_springfield,town,22460,Q1377064,POINT (-77.2332629 38.7791931)
30286,Virginia,virginia,Timberlake,timberlake,town,13267,Q1374537,POINT (-79.245423 37.3302202)
30295,Virginia,virginia,Burke,burke,town,41055,Q1374615,POINT (-77.2754691 38.7771321)
30296,Virginia,virginia,Brambleton,brambleton,town,23486,Q659359,POINT (-77.536862 38.9842917)
30326,Virginia,virginia,Williamsburg,williamsburg,town,15425,Q492346,POINT (-76.7074042 37.2708788)
30330,Virginia,virginia,Franconia,franconia,town,18943,Q1374404,POINT (-77.1459887 38.7821823)
30333,Virginia,virginia,Dale City,dale_city,city,72088,Q976180,POINT (-77.3364973 38.645601)
30335,Virginia,virginia,Idylwood,idylwood,town,17288,Q1377040,POINT (-77.2116478 38.8951115)
30341,Virginia,virginia,Suffolk,suffolk,city,94324,Q342428,POINT (-76.5834683 36.7281341)
30345,Virginia,virginia,Gainesville,gainesville,town,18112,Q1374347,POINT (-77.6125958 38.7960879)
30346,Virginia,virginia,Cherry Hill,cherry_hill,town,23683,Q2842510,POINT (-77.30886 38.583601)
30357,Virginia,virginia,Tuckahoe,tuckahoe,town,44990,Q1374900,POINT (-77.5563761 37.5901463)
30359,Virginia,virginia,Annandale,annandale,town,41008,Q1375477,POINT (-77.1964966 38.8303098)
30360,Virginia,virginia,Springfield,springfield,town,31339,Q926559,POINT (-77.1861196 38.7791227)
30366,Virginia,virginia,Lake Ridge,lake_ridge,town,46167,Q1374531,POINT (-77.279636 38.6758341)
30372,Virginia,virginia,Culpeper,culpeper,town,21900,Q990985,POINT (-77.9961275 38.4733823)
30379,Virginia,virginia,Portsmouth,portsmouth,city,97915,Q342803,POINT (-76.297699 36.8320081)
30381,Virginia,virginia,Sugarland Run,sugarland_run,town,12956,Q931854,POINT (-77.3752637 39.0376087)
30382,Virginia,virginia,Bon Air,bon_air,town,18022,Q673772,POINT (-77.5577655 37.5248694)
30387,Virginia,virginia,Wolf Trap,wolf_trap,town,16131,Q1376367,POINT (-77.2808332 38.9382265)
30394,Virginia,virginia,Sterling,sterling,town,30337,Q994379,POINT (-77.4033349 39.0017455)
30398,Virginia,virginia,Fredericksburg,fredericksburg,town,27982,Q492342,POINT (-77.4605399 38.3031837)
30401,Virginia,virginia,Rose Hill,rose_hill,town,20226,Q1375023,POINT (-77.1212538 38.7861846)
30414,Virginia,virginia,Petersburg,petersburg,town,32420,Q511964,POINT (-77.4019268 37.227928)
30419,Virginia,virginia,Hopewell,hopewell,town,23140,Q502235,POINT (-77.2872001 37.3043154)
30420,Virginia,virginia,Ashburn,ashburn,town,46349,Q724884,POINT (-77.4874899 39.0437192)
30424,Virginia,virginia,Broadlands,broadlands,town,14146,Q661228,POINT (-77.513323 39.0232515)
30425,Virginia,virginia,West Falls Church,west_falls_church,town,30243,Q1375996,POINT (-77.1948897 38.8663089)
30435,Virginia,virginia,Lincolnia,lincolnia,town,22922,Q1374806,POINT (-77.1433132 38.8184463)
30436,Virginia,virginia,Manassas Park,manassas_park,town,17219,Q502269,POINT (-77.4420075 38.766802)
30437,Virginia,virginia,McLean,mclean,town,48115,Q963138,POINT (-77.1776327 38.9342888)
30440,Virginia,virginia,Groveton,groveton,town,21296,Q1374484,POINT (-77.0819264 38.7696294)
30449,Virginia,virginia,Leesburg,leesburg,city,54215,Q1012089,POINT (-77.5645607 39.1154506)
30450,Virginia,virginia,Chester,chester,town,23414,Q1375884,POINT (-77.4460583 37.3562229)
30457,Virginia,virginia,Vienna,vienna,town,14873,Q1002926,POINT (-77.2651762 38.9013729)
30458,Virginia,virginia,Manassas,manassas,town,42772,Q511876,POINT (-77.4752667 38.7509488)
30469,Virginia,virginia,Chesapeake,chesapeake,city,249422,Q49222,POINT (-76.2494453 36.7168315)
30475,Virginia,virginia,Short Pump,short_pump,town,30626,Q1374763,POINT (-77.6119457 37.6506092)
30481,Virginia,virginia,Hollins,hollins,town,14673,Q1375071,POINT (-79.9504284 37.3481892)
30482,Virginia,virginia,Lynchburg,lynchburg,city,79009,Q844012,POINT (-79.1422464 37.4137536)
30483,Virginia,virginia,Great Falls,great_falls,town,15953,Q972543,POINT (-77.2883157 38.9981653)
30485,Virginia,virginia,Charlottesville,charlottesville,town,43475,Q123766,POINT (-78.4766781 38.029306)
30487,Virginia,virginia,Montclair,montclair,town,22279,Q1374832,POINT (-77.3575148 38.6097746)
30491,Virginia,virginia,Danville,danville,town,43055,Q511922,POINT (-79.3916713 36.5879877)
30492,Virginia,virginia,Newington,newington,town,13223,Q1376965,POINT (-77.1925331 38.740432)
30493,Virginia,virginia,Sudley,sudley,town,19008,Q1374664,POINT (-77.4934158 38.7890837)
30495,Virginia,virginia,Chantilly,chantilly,town,23039,Q328451,POINT (-77.4311513 38.8941543)
30499,Virginia,virginia,Fort Hunt,fort_hunt,town,16045,Q1374820,POINT (-77.05596 38.7332684)
30503,Virginia,virginia,Forest,forest,town,11709,Q1374602,POINT (-79.2901181 37.3637739)
30507,Virginia,virginia,Hybla Valley,hybla_valley,town,15801,Q1374782,POINT (-77.0826957 38.7476101)
30509,Virginia,virginia,Arlington,arlington,city,238643,Q49279759,POINT (-77.0841585 38.8903961)
30513,Virginia,virginia,Belmont,belmont,town,10268,Q661751,POINT (-77.4941694 39.0627821)
30518,Virginia,virginia,Yorkshire,yorkshire,town,10992,Q1374628,POINT (-77.4479432 38.7930988)
30522,Virginia,virginia,Wyndham,wyndham,town,11087,Q1374917,POINT (-77.6102781 37.6919908)
30536,Virginia,virginia,Bailey's Crossroads,bailey's_crossroads,town,24749,Q1376254,POINT (-77.1297016 38.8503902)
30543,Virginia,virginia,Oakton,oakton,town,36732,Q1376287,POINT (-77.3008453 38.8810678)
30550,Virginia,virginia,Buckhall,buckhall,town,20420,Q3473756,POINT (-77.4312571 38.7324751)
30551,Virginia,virginia,Stuarts Draft,stuarts_draft,town,12124,Q742014,POINT (-79.0347945 38.0346667)
30553,Virginia,virginia,Merrifield,merrifield,town,15212,Q408162,POINT (-77.2274879 38.8741399)
30578,Virginia,virginia,Falls Church,falls_church,town,10799,Q408744,POINT (-77.1710914 38.882334)
30590,Virginia,virginia,Tysons,tysons,town,19627,Q1374864,POINT (-77.2314723 38.918592)
30593,Virginia,virginia,Countryside,countryside,town,10418,Q2876291,POINT (-77.4143814 39.0476716)
30594,Virginia,virginia,Winchester,winchester,town,28120,Q492355,POINT (-78.1652404 39.1852184)
30595,Virginia,virginia,Bristol,bristol,town,17141,Q503366,POINT (-82.1885009 36.5959685)
30596,Virginia,virginia,Newport News,newport_news,city,186247,Q335017,POINT (-76.42977 36.9775016)
30597,Virginia,virginia,Poquoson,poquoson,town,12460,Q349995,POINT (-76.3921461 37.1241861)
30599,Virginia,virginia,Burke Centre,burke_centre,town,17326,Q4998930,POINT (-77.300519 38.7909918)
30601,Virginia,virginia,Lansdowne,lansdowne,town,12427,Q3475397,POINT (-77.4827322 39.0825264)
30602,Virginia,virginia,Lowes Island,lowes_island,town,11023,Q6694003,POINT (-77.3546987 39.0449362)
30605,Virginia,virginia,Virginia Beach,virginia_beach,city,359470,Q49259,POINT (-75.9760751 36.8496579)
30606,Virginia,virginia,Alexandria,alexandria,city,160035,Q88,POINT (-77.0470229 38.8051095)
30608,Virginia,virginia,Loudoun Valley Estates,loudoun_valley_estates,town,11436,Q534542,POINT (-77.5040014 38.9875029)
30609,Virginia,virginia,Stone Ridge,stone_ridge,town,15039,Q3475036,POINT (-77.5497893 38.927567)
30610,Virginia,virginia,Cascades,cascades,town,12366,Q5048200,POINT (-77.3977405 39.0341654)
30613,Virginia,virginia,Reston,reston,city,63226,Q1375280,POINT (-77.3585955 38.9587514)
30615,Virginia,virginia,Richmond,richmond,city,226610,Q43421,POINT (-77.43428 37.5385087)
30618,Virginia,virginia,Norfolk,norfolk,city,238005,Q49231,POINT (-76.2899539 36.8493695)
30619,Virginia,virginia,Kingstowne,kingstowne,town,15556,Q5959869,POINT (-77.1335369 38.7733334)
30620,Virginia,virginia,Leesylvania,leesylvania,town,21193,Q6039167,POINT (-77.2910394 38.6089104)
30622,Virginia,virginia,Mechanicsville,mechanicsville,town,36348,Q1375703,POINT (-77.3717321 37.6039694)
30623,Virginia,virginia,Fair Oaks,fair_oaks,town,30223,Q5429866,POINT (-77.3593073 38.8655742)
30624,Virginia,virginia,Mount Vernon,mount_vernon,town,12416,Q1375384,POINT (-77.0861811 38.7112772)
30625,Virginia,virginia,Bull Run,bull_run,town,16794,Q1376671,POINT (-77.5187768 38.7835365)
30626,Virginia,virginia,Kings Park West,kings_park_west,town,13390,Q6412995,POINT (-77.2943105 38.8142049)
30627,Virginia,virginia,Franklin Farm,franklin_farm,town,19288,Q5491495,POINT (-77.3917571 38.9156925)
30628,Virginia,virginia,Oak Hill,oak_hill,town,48112,Q7073541,POINT (-77.4019173 38.9259679)
30629,Virginia,virginia,McNair,mcnair,town,21598,Q6007992,POINT (-77.4142946 38.9522946)
30630,Virginia,virginia,George Mason,george_mason,town,11162,Q5542193,POINT (-77.3080422 38.8311714)
30660,Virginia,virginia,Newington Forest,newington_forest,town,12967,Q13634361,POINT (-77.2408975 38.739601)
30665,Virginia,virginia,Difficult Run,difficult_run,town,10600,Q105952703,POINT (-77.3562139 38.9024756)
30675,Virginia,virginia,Wakefield,wakefield,town,11805,Q7961019,POINT (-77.2388071 38.8339284)
30678,Virginia,virginia,Meadowbrook,meadowbrook,town,20898,Q6008158,POINT (-77.4729611 37.4422987)
30679,Virginia,virginia,Manchester,manchester,town,12129,Q6747222,POINT (-77.5372892 37.4991824)
30696,Washington,washington,Seattle,seattle,city,737015,Q5083,POINT (-122.330062 47.6038321)
30697,Washington,washington,Mercer Island,mercer_island,town,25748,Q954095,POINT (-122.2276378 47.5766324)
30698,Washington,washington,Puyallup,puyallup,town,42973,Q179336,POINT (-122.29214 47.1849009)
30699,Washington,washington,Fife,fife,town,10999,Q1510211,POINT (-122.3626381 47.2359524)
30700,Washington,washington,Sumner,sumner,town,10621,Q1510183,POINT (-122.2312383 47.2061882)
30701,Washington,washington,Fort Lewis,fort_lewis,town,14052,Q3505731,POINT (-122.554979 47.1086912)
30702,Washington,washington,Spanaway,spanaway,town,35476,Q1515461,POINT (-122.4243422 47.0979462)
30703,Washington,washington,South Hill,south_hill,city,64708,Q1503540,POINT (-122.290702 47.1210893)
30705,Washington,washington,Edgewood,edgewood,town,12327,Q1508050,POINT (-122.2843724 47.2318245)
30706,Washington,washington,Bonney Lake,bonney_lake,town,22487,Q657810,POINT (-122.1702293 47.1870191)
30707,Washington,washington,Gig Harbor,gig_harbor,town,12029,Q1011748,POINT (-122.5878659 47.3259697)
30709,Washington,washington,Federal Way,federal_way,city,101030,Q821112,POINT (-122.33931 47.313494)
30710,Washington,washington,Graham,graham,town,32658,Q195843,POINT (-122.2785729 47.0395996)
30711,Washington,washington,Bellingham,bellingham,city,91482,Q430267,POINT (-122.478836 48.7544012)
30712,Washington,washington,Issaquah,issaquah,town,40051,Q40251,POINT (-122.043297 47.5348778)
30717,Washington,washington,Ellensburg,ellensburg,town,18666,Q868684,POINT (-120.545122 46.9970635)
30720,Washington,washington,Kittitas,kittitas,town,40915,Q1023547,POINT (-120.4182898 46.9838217)
30722,Washington,washington,Covington,covington,town,20777,Q1074503,POINT (-122.100222 47.3657791)
30723,Washington,washington,Maple Valley,maple_valley,town,28013,Q988204,POINT (-122.0437127 47.3664231)
30724,Washington,washington,Kent,kent,city,136588,Q844008,POINT (-122.2270272 47.3826903)
30725,Washington,washington,Tukwila,tukwila,town,21798,Q1510339,POINT (-122.2559156 47.4627356)
30726,Washington,washington,Bellevue,bellevue,city,151854,Q214164,POINT (-122.192337 47.6144219)
30727,Washington,washington,Redmond,redmond,city,73256,Q223718,POINT (-122.1238767 47.6694141)
30728,Washington,washington,Everett,everett,city,110629,Q392599,POINT (-122.2127011 47.9793437)
30729,Washington,washington,Kirkland,kirkland,city,92175,Q936768,POINT (-122.2070775 47.6765382)
30730,Washington,washington,Sammamish,sammamish,city,67455,Q988209,POINT (-122.0416844 47.6017554)
30731,Washington,washington,Vancouver,vancouver,city,190915,Q234053,POINT (-122.6744557 45.6306954)
30732,Washington,washington,Spokane,spokane,city,228989,Q187805,POINT (-117.42351 47.6571934)
30739,Washington,washington,Port Orchard,port_orchard,town,15587,Q935482,POINT (-122.6384056 47.5315625)
30740,Washington,washington,Poulsbo,poulsbo,town,11975,Q1509552,POINT (-122.63928 47.7391366)
30741,Washington,washington,Silverdale,silverdale,town,20733,Q1515408,POINT (-122.6766317 47.6594091)
30746,Washington,washington,Lacey,lacey,city,53526,Q970086,POINT (-122.8072257 47.0263876)
30752,Washington,washington,Tumwater,tumwater,town,25350,Q1507493,POINT (-122.910368 47.0080655)
30753,Washington,washington,Yelm,yelm,town,10617,Q1510424,POINT (-122.60639 46.9413877)
30754,Washington,washington,Artondale,artondale,town,13641,Q1508649,POINT (-122.629247 47.3000489)
30758,Washington,washington,DuPont,dupont,town,10151,Q128112,POINT (-122.637546 47.0990689)
30761,Washington,washington,Elk Plain,elk_plain,town,14534,Q1515942,POINT (-122.366813 47.0448099)
30763,Washington,washington,Centralia,centralia,town,18183,Q868700,POINT (-122.96143 46.7204489)
30774,Washington,washington,Kelso,kelso,town,12720,Q868654,POINT (-122.905299 46.1421249)
30775,Washington,washington,Longview,longview,town,37818,Q983801,POINT (-122.934462 46.1377048)
30777,Washington,washington,Camas,camas,town,26065,Q1507709,POINT (-122.403277 45.5863014)
30779,Washington,washington,Ridgefield,ridgefield,town,10319,Q1505990,POINT (-122.7433775 45.8167616)
30780,Washington,washington,Washougal,washougal,town,17039,Q986371,POINT (-122.3479921 45.5819594)
30782,Washington,washington,Alderwood Manor,alderwood_manor,town,10198,Q1515783,POINT (-122.2586266 47.8023821)
30783,Washington,washington,Arlington,arlington,town,19868,Q1055866,POINT (-122.1288887 48.1896827)
30785,Washington,washington,Bothell,bothell,town,48161,Q303046,POINT (-122.2054035 47.7623204)
30786,Washington,washington,Edmonds,edmonds,town,42853,Q1055845,POINT (-122.3774952 47.8105738)
30787,Washington,washington,Lynnwood,lynnwood,town,38568,Q852607,POINT (-122.3053932 47.8278656)
30801,Washington,washington,Lake Stevens,lake_stevens,town,35630,Q1507935,POINT (-122.0660914 48.0197794)
30804,Washington,washington,Maltby,maltby,town,11277,Q1508441,POINT (-122.114493 47.8051652)
30805,Washington,washington,Marysville,marysville,city,70714,Q970001,POINT (-122.1768209 48.0517429)
30806,Washington,washington,Mountlake Terrace,mountlake_terrace,town,21286,Q1507087,POINT (-122.3066395 47.7909667)
30807,Washington,washington,Mukilteo,mukilteo,town,21538,Q1507307,POINT (-122.3036992 47.9474034)
30814,Washington,washington,Snohomish,snohomish,town,10126,Q1505974,POINT (-122.0955144 47.9113592)
30823,Washington,washington,Silver Firs,silver_firs,town,22174,,POINT (-122.1502914 47.8702735)
30824,Washington,washington,Anacortes,anacortes,town,17637,Q483595,POINT (-122.6125717 48.516844)
30828,Washington,washington,Mount Vernon,mount_vernon,town,35219,Q866311,POINT (-122.32642 48.4200462)
30829,Washington,washington,Sedro-Woolley,sedro-woolley,town,12421,Q1502468,POINT (-122.235109 48.504994)
30830,Washington,washington,Lynden,lynden,town,15749,Q1507840,POINT (-122.4569315 48.9466041)
30831,Washington,washington,Ferndale,ferndale,town,15048,Q1502426,POINT (-122.589723 48.8466698)
30838,Washington,washington,Vashon,vashon,town,11055,Q1505272,POINT (-122.46067 47.4480496)
30853,Washington,washington,Port Angeles,port_angeles,town,19960,Q852584,POINT (-123.430741 48.118146)
30860,Washington,washington,Burien,burien,city,52066,Q984825,POINT (-122.3485274 47.469918)
30861,Washington,washington,University Place,university_place,town,34866,Q1514808,POINT (-122.5371325 47.2258172)
30863,Washington,washington,Liberty Lake,liberty_lake,town,12003,Q916956,POINT (-117.104865 47.6681145)
30867,Washington,washington,Grandview,grandview,town,11078,Q1074513,POINT (-119.9017049 46.2509653)
30878,Washington,washington,Enumclaw,enumclaw,town,12543,Q1513207,POINT (-121.9916371 47.2047793)
30881,Washington,washington,White Center,white_center,town,16631,Q1511304,POINT (-122.355739 47.5164297)
30897,Washington,washington,Spokane Valley,spokane_valley,city,102976,Q988065,POINT (-117.2613936 47.6571104)
30898,Washington,washington,West Richland,west_richland,town,16295,Q917589,POINT (-119.347312 46.3003915)
30904,Washington,washington,Des Moines,des_moines,town,32888,Q163325,POINT (-122.3099093 47.398829)
